Time [ms], Elem0, Elem1, Elem2, Elem3
9921, 0, 0.00494943, -0.00314433, -0.0404924
9921, 0, 0.00618679, -0.00419245, -0.0404924
9921, 0, 0.00371207, -0.00314433, -0.0404924
9921, 0, 0.00371207, -0.00314433, -0.0404924
9963, 0, 0.00371207, -0.00314433, -0.0404924
9963, 0, 0.00123736, -0.00419245, -0.0404924
9963, 0, 0.00123736, -0.00419245, -0.0404924
10005, 0, 0.00123736, -0.00419245, -0.0404924
10005, 0, 0.00123736, -0.00209622, -0.0404924
10005, 0, 0, -0.00209622, -0.0404924
10026, 0, -0.00123736, 0, -0.0404924
10026, 0, -0.00247472, 0, -0.0404924
10026, 0, -0.00247472, 0, -0.0404924
10088, 0, -0.00247472, 0, -0.0404924
10088, 0, -0.00247472, 0, -0.0404924
10108, 0, -0.00247472, 0, -0.0404924
10108, 0, -0.00123736, 0, -0.0404924
10108, 0, 0.00123736, -0.00104811, -0.0404924
10128, 0, 0.00123736, -0.00314433, -0.0404924
10128, 0, 0.00371207, -0.00209622, -0.0404924
10128, 0, 0.00371207, -0.00209622, -0.0404924
10188, 0, 0.00371207, -0.00209622, -0.0404924
10188, 0, 0.00371207, -0.00209622, -0.0404924
10208, 0, 0.00371207, -0.00209622, -0.0404924
10208, 0, 0.00494943, 0, -0.0404924
10228, 0, 0.00494943, 0.00104811, -0.0404924
10228, 0, 0.00247472, 0, -0.0404924
10248, 0, 0.00123736, -0.00104811, -0.0404924
10248, 0, 0.00123736, -0.00104811, -0.0404924
10309, 0, 0.00123736, -0.00104811, -0.0404924
10309, -0.000497434, 0.00123736, -0.00104811, -0.0404924
10309, -0.000497434, 0.00123736, -0.00104811, -0.0404924
10309, -0.000497434, 0.00123736, -0.00104811, -0.0404924
10309, -0.000497434, 0.00123736, -0.00104811, -0.0404924
10370, -0.000497434, 0.00123736, -0.00104811, -0.0539899
10370, 0, 0.00123736, -0.00104811, -0.0539899
10370, 0, 0.00123736, -0.00104811, -0.0539899
10410, 0, 0.00123736, -0.00104811, -0.0404924
10410, 0, 0.00123736, -0.00104811, -0.0404924
10410, 0, 0, -0.00104811, -0.0404924
10430, -0.000497434, -0.00123736, -0.00209622, -0.0404924
10430, -0.000497434, -0.00123736, -0.00209622, -0.0404924
10430, -0.000497434, -0.00123736, -0.00209622, -0.0404924
10490, -0.000497434, -0.00123736, -0.00209622, -0.0404924
10490, -0.000497434, -0.00123736, -0.00209622, -0.0404924
10510, -0.000497434, -0.00123736, -0.00209622, -0.0404924
10510, 0, -0.00123736, -0.00209622, -0.0404924
10530, 0, -0.00123736, 0, -0.0404924
10530, 0, 0, 0.00104811, -0.0404924
10550, 0, 0, 0, -0.0404924
10550, 0, 0, 0, -0.0404924
10590, 0, 0, 0, -0.0404924
10590, 0, 0, 0, -0.0404924
10611, 0, 0, 0, -0.0404924
10611, 0, 0, -0.00104811, -0.0404924
10631, 0, -0.00123736, -0.00104811, -0.0404924
10631, 0, -0.00123736, 0, -0.0404924
10651, 0, -0.00123736, 0, -0.0404924
10651, 0, -0.00123736, 0, -0.0404924
10712, 0, -0.00123736, 0, -0.0404924
10712, 0, -0.00123736, 0, -0.0404924
10712, 0, -0.00123736, 0, -0.0404924
10732, 0, 0, 0, -0.0404924
10732, 0, 0.00123736, 0, -0.0404924
10752, 0, 0.00247472, -0.00104811, -0.0404924
10752, 0, 0.00247472, -0.00104811, -0.0404924
10772, 0, 0.00247472, -0.00104811, -0.0404924
10812, 0, 0.00247472, -0.00104811, -0.0404924
10832, 0, 0.00247472, -0.00104811, -0.0404924
10832, 0, 0.00247472, -0.00104811, -0.0404924
10832, 0, 0.00247472, -0.00104811, -0.0404924
10832, 0, 0.00247472, -0.00104811, -0.0404924
10852, 0, 0.00247472, 0, -0.0404924
10852, 0, 0.00247472, 0.00209622, -0.0404924
10873, 0, 0.00247472, 0.00314433, -0.0404924
10873, 0, 0.00247472, 0.00314433, -0.0404924
10913, 0, 0.00247472, 0.00314433, -0.0404924
10913, 0, 0.00247472, 0.00314433, -0.0404924
10913, 0, 0.00247472, 0.00209622, -0.0404924
10933, 0, 0.00247472, 0.00209622, -0.0404924
10933, 0, 0.00123736, 0, -0.0404924
10933, 0, 0.00123736, 0, -0.0404924
10985, 0, 0.00123736, 0, -0.0404924
11043, 0, 0.00123736, 0, -0.0404924
11043, 0, 0.00123736, 0, -0.0404924
11043, 0, 0.00123736, 0, -0.0404924
11043, 0, 0.00123736, 0, -0.0404924
11045, 0, 0, 0, -0.0404924
